,会社名,タイトル,掲載終了日
278,株式会社京進 | 東証二部上場,"【学習塾教室長】独立を目指し、教室長として""経営""を学べる！ 契約社員",掲載終了予定日： 2022/02/14
279,LINK株式会社 | 【京都三友青果グループ】★2021年設立の新しい会社です！,☆中小企業の魅力はここにあります！！新会社設立！【内勤営業】 正社員,掲載終了予定日： 2022/03/14
280,ユナイテッド＆コレクティブ株式会社 | 東証マザーズ上場★売上好調につき社員大募集！,年収550万円も可能！月9日休＊入社祝金10万円【店長職】 正社員,掲載終了予定日： 2022/02/28
281,株式会社貴順 | *都心エリアの平均月収60万円 *スタッフの8割以上が月収55万円超,普通免許だけで応募OK！ 上京も歓迎！【軽ドライバー】*全国募集 業務委託,掲載終了予定日： 2022/03/14
282,株式会社Studio En | ★大阪府緊急雇用対策に賛同★ 残業月平均10h程度！メリハリ◎,【電気設備工事スタッフ】賞与年3回・計8ヶ月分！ 正社員,掲載終了予定日： 2022/03/10
283,株式会社ユースリー | 転勤なし・土日祝休・有給消化100％・時流に沿った働き方を展開,【IT営業】未経験歓迎/土日祝休/年休124日以上/月残業20h以内 正社員,掲載終了予定日： 2022/03/10
284,京和ブロンズ株式会社 | 【設立50年以上／青銅インゴットのメーカー】＊残業なし＊,【製造スタッフ（生産）】★昨年度賞与4ヶ月分 ★年休120～125日 正社員,掲載終了予定日： 2022/03/10
285,株式会社キョウシン | 大阪府緊急雇用対策に賛同 ★完全週休2日！残業月平均5時間！,【賃貸営業】100%反響/最大34万円のインセンティブを毎月支給！ 正社員,掲載終了予定日： 2022/02/17
286,住宅セレクション株式会社 | 《引越費用半額負担有！全国から神奈川湘南で働きたい方大歓迎》,【不動産営業】★完全週休2日制 ★年間休日115日 ★残業少 正社員,掲載終了予定日： 2022/02/24
287,株式会社UPSTART | 設立4年で5名から120名に！営業アウトソーシング急成長企業！,【営業】平均年齢25歳☆未経験歓迎！無料の寮完備！月給30万円～ 正社員,掲載終了予定日： 2022/03/10
288,スカイジャパン株式会社 | 入社1年目で月給９万円UPした社員も！在宅勤務OK！,未経験でも高収入/月給30万円以上!【提案営業】ノルマ&残業なし 正社員,掲載終了予定日： 2022/02/10
289,株式会社EINS | 【設立から業績右肩上がり】2年目以降の平均年収1千万以上も可能,未経験OK！【コンサルティング営業】◆残業基本なし/土日祝休 正社員,掲載終了予定日： 2022/03/10
290,株式会社N-Basic | 上業企業《安江工務店》グループ＊神戸からの転勤なし！,【100%反響営業】頑張りは収入に反映！年収1000万円以上も可能！ 正社員,掲載終了予定日： 2022/03/10
291,池袋ホーム株式会社 | ◆池袋の一等地で毎日新規来客多数！◆完全週休2日◆賞与年4回,"お部屋探しの""ワクワク""をお手伝い！【ルームアドバイザー】 正社員",掲載終了予定日： 2022/03/07
292,株式会社SPパロジェ・ゴールド | ♯残業ほぼ無し ♯長期休暇は2週間など、長め ♯産育休実績あり,"年収1,000万円超も可能！売れる物件を担当できる【不動産営業】 正社員",掲載終了予定日： 2022/03/07
293,株式会社京進 | 東証二部上場,【学習塾経営】転職して社員に？いや、次のキャリアは独立だ！ FCオーナー,掲載終了予定日： 2022/02/07
294,株式会社ナイン警備 | 未経験OK！管理職候補生募集！,【総合管理職】上を目指したい！夢がある！そんな方に必見◎ 正社員,掲載終了予定日： 2022/02/21
295,株式会社日本経済物流 | 軽貨物を中心とした物流事業を展開,貨物の配送を適切なドライバーに割り当てる【コーディネーター】 正社員,掲載終了予定日： 2022/02/28
296,株式会社プリペアード | 事業拡大を続ける新進気鋭の企業 ★年休130日/完全週休2日,スタートアップ企業の【法人営業】残業ほぼなし/昇給4回/賞与2回 正社員,掲載終了予定日： 2022/02/14
297,株式会社コッカ | 大阪府緊急雇用対策に賛同｜完全土日祝休み｜年間休日120日以上,会社の新たな成長期を支え、創り上げる【新規事業推進リーダー】 正社員,掲載終了予定日： 2022/02/28
298,株式会社ムラカミ | ◆業績好調◆転勤なし、香川でずっと働ける◆寮あり,残業ほぼなし◎お客様は香川県内の【ルート営業】※未経験歓迎 正社員,掲載終了予定日： 2022/02/14
299,株式会社日光ホーム | 【業績好調／TVCM・WEB広告で知名度抜群】★月収250万円も可能,社員平均月収100万円！【反響営業】※完全週休2日制／未経験歓迎 正社員,掲載終了予定日： 2022/02/28
300,LUCION&Company株式会社 | 高インセン|ちょっとかわった福利厚生|大阪府緊急雇用対策に賛同,新事業立ち上げ！未経験から稼げる！【提案営業】 正社員,掲載終了予定日： 2022/02/14
301,日本建物株式会社 | 今年入社の9名も活躍中！業績好調により更に増員します◎,【不動産営業】#月給25万円～＋インセン#原則定時退社#未経験可 正社員,掲載終了予定日： 2022/02/14
302,株式会社ガイア | アイランドシティや動物園、北九州スタジアムなど多彩な実績あり,大規模プロジェクトに携われる【開発許認可/土木設計】*年齢不問 正社員,掲載終了予定日： 2022/02/28
303,株式会社ワールドインテック | 東証一部上場ワールドホールディングスグループ◆土日祝休み,【自動車製造スタッフ】★未経験歓迎★年間休日121日★日勤のみ 正社員,掲載終了予定日： 2022/01/31
304,大日設備工事株式会社 | 急募★高収入／研修あり／家族都合休OK／U・Iターン歓迎,水まわり工事の【 現場サポート 】年休120日以上／月給30万円～ 正社員,掲載終了予定日： 2022/02/28
305,エントロス株式会社 | 大手企業のイベント/大阪テーマパーク/エンタメなど施工実績多数,展示イベントなどのディスプレイを行う【空間コーディネーター】 正社員,掲載終了予定日： 2022/02/14
306,株式会社インターレイズ | ◆早期キャリアアップ可能／未経験OK／学歴不問,【受付サロンスタッフ】★未経験歓迎／学歴不問 正社員,掲載終了予定日： 2022/02/24
307,SBIコネクト株式会社 | 未経験でも月給25万7500円スタート！／年4回の昇給チャンスあり,【コールセンタースタッフ】★未経験OK★完全週休2日★服装自由 正社員,掲載終了予定日： 2022/02/03
308,株式会社ハロネット | 8年連続ベストベンチャー100に選出／新事業立ち上げメンバー募集,入社祝い金10万円！未経験歓迎【WEBコンサルティング】土日祝休 正社員,掲載終了予定日： 2022/02/24
309,洋伸建設株式会社 | 【海洋土木TOPクラス企業、五洋建設（東証一部）100％出資】,【土木施工管理】◎完全週休2日(土日祝)／年休120日以上 正社員,掲載終了予定日： 2022/02/10
310,株式会社ウィディオ | 【大手企業のパートナーとして安定成長中】★長期出張仕事ナシ★,【電気施工管理】長期休暇あり／週休2日(土日休)／転勤なし 正社員,掲載終了予定日： 2022/02/10
311,株式会社インサイド・アウト | 残業月平均20時間◆土日祝休みの完全週休2日◆年休120日以上,圧倒的な商品力が強み！Web広告の【企画・提案営業】 正社員,掲載終了予定日： 2022/02/10
312,株式会社ファイネスト | 【マイナビ転職初掲載】★Web面接可★大阪勤務⇒引越し代支給,※未経験歓迎【店舗スタッフ(店長候補)】★オープニング募集 正社員,掲載終了予定日： 2022/02/10
313,株式会社トーショー | 未経験OK｜入社祝い金20万円支給｜免許取得制度あり｜定着率抜群,近距離配送・日勤のみ！建築資材の【配送ドライバー】 正社員,掲載終了予定日： 2022/02/24
314,株式会社LIP | #完全週休2日制 #原則定時退社 #高額インセンティブ＆昇給あり,【不動産営業】◎未経験大歓迎！★休日は自由に選択＆残業禁止！ 正社員,掲載終了予定日： 2022/02/10
315,株式会社EMOLVA | SNS運用やインフルエンサーマーケティングを手掛ける企業,インフルエンサーによるSNSマーケ【提案営業】♯新規立ち上げ 正社員,掲載終了予定日： 2022/02/03
316,東日本メディコム株式会社 | 賞与年2回｜転勤ナシ｜U・Iターン歓迎｜5日以上の連休も取得可能,医療システムの【法人営業】★未経験歓迎／年間休日123日！ 正社員,掲載終了予定日： 2022/01/31
317,株式会社レジット | 資格支援制度 / 服装・髪型自由 / 22年5月に道玄坂に拡大移転！,【Webデザイナー】★年収800万円も実現できる★フレックス制 正社員,掲載終了予定日： 2022/02/07
318,株式会社ピースリー | 積極面接中!!年休120日以上でプライベートも充実◎20代活躍中★,【営業】服装と髪型が自由＆初年度高収入！家賃補助50％負担！！ 正社員,掲載終了予定日： 2022/02/21
319,株式会社丸八ダイレクト | ◆名証二部上場「丸八グループ」◆WEB面接可◆報奨金・賞与年2回,【販売スタッフ】未経験でも月30万～可★嬉しい社宅有★高卒以上 正社員,掲載終了予定日： 2022/02/21
320,日本電設工業株式会社 | ＜東証一部上場企業／JR東日本のパートナー＞★年収990万も可,大規模案件を中心に手掛ける【総合職(電気・空調施工管理)】 正社員,掲載終了予定日： 2022/02/14
321,株式会社モトーレン福島 | 《福島県内唯一のBMW／MINI正規ディーラー》★県外転勤なし,未経験から成長できる！【反響営業】※福島限定募集・制度充実 正社員,掲載終了予定日： 2022/03/21
322,株式会社ゲッコー | 年2回5～7日の長期休暇アリ！月収60万円も目指せちゃいます◎,＼残業ナシ／早ければ15時に帰宅することも！【技術系総合職】 正社員,掲載終了予定日： 2022/02/21
323,株式会社ダイケンビルサービス | 創業63年の安定企業：残業月20時間以内・福利厚生も充実！,安定感抜群！【設備管理】未経験大歓迎！面接1回のスピード採用 正社員,掲載終了予定日： 2022/02/07
324,株式会社キャリアサービス | 完全定時退社◆年休125日以上◆産休育休の実績◆賞与年3回,未経験から活躍！【人材コーディネーター】☆月給35万円～ 正社員,掲載終了予定日： 2022/02/21
325,株式会社ガッジェス | 都内・埼玉勤務募集/月給25万円～/住宅手当半額支給/残業5h以下,【携帯ショップstaff】残業なし/1年目で35万円も可/未経験大歓迎 正社員,掲載終了予定日： 2022/02/21
326,GranElite株式会社 | KAITORI ELITE／買取専門店 kaitori-offを展開！6期連続増収★,【査定スタッフ/バイヤー】未経験から1年目で30万円以上も可能 正社員,掲載終了予定日： 2022/02/17
327,昭和プラント株式会社 | ■残業月平均10時間以内 ■学歴不問 ■UIターン大歓迎,【電気工事スタッフ】◎未経験者歓迎！ ◎働きやすさが自慢！ 正社員,掲載終了予定日： 2022/02/17
328,社会福祉法人ひまわり会 | 賞与年3回（4.8ヵ月分：前年実績）・産育休取得＆復帰実績も多数,日祝固定休み！公法人で安定性抜群の【保育士（保育園・学童）】 正社員,掲載終了予定日： 2022/02/17
329,株式会社アイタン | ★創業から21年連続売上UP★賞与年2回＋臨時賞与（4年連続支給）,消防設備の【法定点検スタッフ】月給30万円以上／未経験歓迎☆ 正社員,掲載終了予定日： 2022/02/17
330,株式会社ユタカホーム | 創業46年の安定企業★年間休日120日★土日祝休み★基本定時退社,自社Webサイトをトータルに手掛ける！【Webディレクター】 正社員,掲載終了予定日： 2022/01/31
331,株式会社水本機械製作所 | 【創業70年の老舗企業】年齢不問／定年後のセカンドキャリアもOK,【製造管理】◆マネージャー募集(管理職、部長候補)◆経験者優遇 正社員,掲載終了予定日： 2022/02/14
332,新和エキスプレス有限会社 | 入社祝い金あり／ドライバー平均年収600万円以上！,社会貢献度の大きい建設系廃棄物の【収集運搬ドライバー】 正社員,掲載終了予定日： 2022/02/14
333,ライフナビパートナーズ株式会社 | 売上の70～95%が報酬に | 土日祝休 | 朝日生命保険の100%子会社,【コンサルティング営業】◆年休120日／初年度から高収入可能！ 正社員,掲載終了予定日： 2022/02/10
334,日本交通横浜株式会社 | 11年連続売上No.1*の日本交通グループ☆入社準備金30万円支給！,【EXドライバー(VIP・ハイヤー送迎)】ミドル活躍中／年収790万可 正社員,掲載終了予定日： 2022/02/07
335,日本交通横浜株式会社 | 11年連続売上No.1*の日本交通グループ☆入社準備金30万円支給！,【ホスピタリティドライバー】女性・ミドル活躍中／充実保証あり 正社員,掲載終了予定日： 2022/02/07
336,株式会社インビジブル | ★面接1回★年休120日以上★フレックスタイム制★20代活躍中,キャッシュレス決済サービスの【企画営業】土日祝休／未経験歓迎 正社員,掲載終了予定日： 2022/01/31
337,株式会社岳南不動産 | 岳南グループ企業！高利率インセンティブあり,完全反響営業【ハウスエージェント職】ノルマなし◎★残業月20h 正社員,掲載終了予定日： 2022/01/31
338,株式会社グリーン・ワークホース | 年休127日｜完全週休2日制｜長期休暇アリ｜WEB面接,【完全反響営業】★11:20始業で通勤快適 ★充実のインセンティブ 正社員,掲載終了予定日： 2022/01/31
339,関西不動産販売株式会社 | 17期連続で増収増益中｜固定給25万円を最低保証｜随時昇給あり,年間ボーナス1000万円の支給実績多数【不動産営業】業界未経験OK 正社員,掲載終了予定日： 2022/01/31
340,株式会社アドヴァンス | 【 2022年1月23日(日) マイナビ転職フェア熊本に出展します 】,打ち抜く！曲げる！組立！溶接！技術光る【金属加工】★未経験OK 正社員,掲載終了予定日： 2022/01/31
341,株式会社インフィライズ | 土日祝休み｜入社祝い金最大10万円｜残業月20H以内｜勤務地希望,未経験歓迎【施工管理アシスタント】定着率97％｜ブランク不問 正社員,掲載終了予定日： 2022/01/31
342,株式会社アリオス・コーポレーション | ◆出社・退社時間の調整OK／残業月20h以内／月給30万円～,一緒にゲームやりませんか？？【退居後物件の見積調査スタッフ】 正社員,掲載終了予定日： 2022/01/27
343,株式会社国際エキスプレス | 3年前から倍増！売上90億円/国際宅配サービスを担う総合物流企業,【倉庫管理スタッフ】★年休120日～★有休消化率70%以上♪ 正社員,掲載終了予定日： 2022/01/27
344,Life & Style株式会社 | *大型連休年3回 *週休二日制 *残業少なめ *インセン平均30~40万,未経験歓迎！都心のブランドマンションの【反響営業】*月27.5万~ 正社員,掲載終了予定日： 2022/01/27
345,日本交通株式会社 | 三鷹営業所★飲食関連や個人事業主など前職様々なメンバーが活躍,働きやすさが自慢！【総合職(乗務員・キッズ・ケアサポート等)】 正社員,掲載終了予定日： 2022/02/07
346,株式会社Be-flow | 勝てるノウハウを伝授！全国売上《トップ5位》は全員当社の社員,社員全員が〈月収100万円以上〉月給25万～×完全週休2日【営業】 正社員,掲載終了予定日： 2022/02/03
347,ディーエムソリューションズ株式会社 | JASDAQ上場／設立以来17期連続黒字経営！引越し手当30万円支給※,リピート率95%超の【企画営業】★未経験活躍中！仙台・福岡限定 正社員,掲載終了予定日： 2022/01/31
348,株式会社SALTO | ＃年休132日＃フルリモート案件多数＃完全週休2日制,☆前給考慮☆Web面接1回のスピード選考【開発エンジニア】 正社員,掲載終了予定日： 2022/02/10
349,コーンズ・モータース株式会社 | ＜フェラーリ、ロールス・ロイスなど高級輸入車の正規代理店＞,【営業】★完全週休2日制★賞与計5ヵ月分支給＆高インセン有 正社員,掲載終了予定日： 2022/01/27
350,株式会社窪治組 | ★転勤なし★社員寮完備★残業ほぼなし★実働7.5h★各種手当充実,【総合職(技術者/ドライバー/資材の搬入等)】★社会人経験者募集 正社員,掲載終了予定日： 2022/01/27
351,株式会社秋山住研 | 【設立42年】地域に根ざした工務店◎100億企業を目指し拡大中！,完全反響型【営業】高品質＆低価格な住宅で商談チャンス豊富！ 正社員,掲載終了予定日： 2022/01/27
352,コーンズ・モータース株式会社 | ＜フェラーリ、ロールス・ロイスなど高級輸入車の正規代理店＞,フェラーリの【セールスマネージャー】★月給37万以上★完休2日 正社員,掲載終了予定日： 2022/01/27
353,シティロード株式会社 | 資格取得支援・高収入も目指せる！WEB面接対応OK◎,未経験OK！【施工管理】★年間休日129日★福利厚生も充実 正社員,掲載終了予定日： 2022/02/03
354,株式会社ティ・ユー・メタル | 【 業績安定 】” 地元でずっと働く ” が叶う場所。,【 作業スタッフ 】土日休み／平均月収30万円～／20～30代活躍中 正社員,掲載終了予定日： 2022/03/21
355,HRconsulting株式会社 | ◆完全週休2日(土日祝)◆年休124日◆基本定時退社◆高インセン,アパレル業界と求職者を繋ぐ【人材コーディネーター】★未経験OK 正社員,掲載終了予定日： 2022/03/21
356,株式会社コンセプト | 競馬関連のプロモーションを担う制作会社 ◎2週間の長期休暇あり,DMや新聞広告の【制作スタッフ】★未経験者も月給30万スタート！ 正社員,掲載終了予定日： 2022/03/07
357,三協電機株式会社 | 大手や官公庁と直取引／賞与年2回、1回100万円程度の実績も多数,地元のインフラに貢献！電気設備の【技術スタッフ】週休二日制！ 正社員,掲載終了予定日： 2022/03/07
358,株式会社 GREEN ROOM | 【5つの事業を展開する総合管理・コンサルタント会社】,【 営業 】★未経験者歓迎 ◎年間休日120日以上 ◎土日祝休み 正社員,掲載終了予定日： 2022/03/07
359,株式会社建築資料研究社 | コロナ禍でも強い！資格系スクール「日建学院」を運営,★埼玉県募集【総合職(ライセンスアドバイザー/システム営業)】 正社員,掲載終了予定日： 2022/03/07
360,三友企業株式会社 | 神戸本社／港湾物流カンパニー／物流業界からの転職事例多数,休日と高収入のバランスが抜群【港湾荷役スタッフ】※未経験歓迎 正社員,掲載終了予定日： 2022/02/28
361,株式会社蛭佐 | ★かんでんエンジニアリングと直取引 ★昨年賞与実績4～5ヶ月分,インフラを守る【維持・管理スタッフ】※月収40万円も可 正社員,掲載終了予定日： 2022/03/21
362,"伊勢住宅株式会社 | ""南大阪の物件なら伊勢さん""地域密着企業／大阪府雇用対策に賛同",未経験も月給27万円以上！【反響営業】ノルマ・転勤なし！ 正社員,掲載終了予定日： 2022/03/03
363,株式会社L.I.G | #大阪府緊急雇用対策に賛同 子育て中のママさんも活躍中です！,新進気鋭の不動産仲介！大阪トップクラスの集客力！【営業事務】 正社員,掲載終了予定日： 2022/03/17
364,株式会社かず電工 | 電話問合せも歓迎！【092-985-5959】まで気軽にご連絡ください！,未経験からプロになれる【電気・ネットワーク系エンジニア】 正社員,掲載終了予定日： 2022/03/03
365,スカイガーデン株式会社 | 平塚に根差した不動産会社！業界経験者、資格取得者は手当あり！,地域密着の【不動産営業】未経験から年収1000万円を目指せます！ 正社員,掲載終了予定日： 2022/03/17
366,システム・メイトグループ合同募集 | ★創業50年超★30～40代活躍中★エンジニアの希望を何より重視！,【SE/PG】★リモートあり ★年休120日 ★残業平均1日1H以下 正社員,掲載終了予定日： 2022/02/17
367,有限会社チャンス | 《千葉エリア中心の中古車販売店》ノルマなし／100%反響型,＼100%反響型／売りやすさバツグン！【営業職】★未経験歓迎 正社員,掲載終了予定日： 2022/03/17
368,"アークネット株式会社 | 「やる気スイッチ」のスクールIE,英会話スクール「WinBe」を運営",担当授業無【教室長候補】関東エリアNO.1×特別優秀教室賞も受賞 正社員,掲載終了予定日： 2022/03/03
369,伊豫スズキ販売株式会社 | 完全週休2日制！(水)+他1日★4月入社希望の方大歓迎！時期相談可,女性活躍中★未経験でも成長できる！チーム制の【営業スタッフ】 正社員,掲載終了予定日： 2022/03/17
370,株式会社トータルサポート | ＼未経験歓迎！応募者全員面接★／面接1回のみ◎即日スタート可,夜勤・長距離・再配達すべてなし☆【ルート配送ドライバー】 正社員,掲載終了予定日： 2022/03/03
371,株式会社ワイズ高橋 | 業界でも珍しい、弊社ならではの買取職にご注目！退職金制度あり,高級輸入車店の【総合職(販売・買取)】★未経験歓迎 正社員,掲載終了予定日： 2022/03/17
372,株式会社トラストホーム | 業績好調！3月新店OPEN｜全員のスキルUPと収入のUPを目指す会社,高収入が叶う！【不動産営業】☆問い合わせ対応のみ ☆研修充実 正社員,掲載終了予定日： 2022/03/17
373,株式会社立山塗建 | 外壁・防水塗装サービス／初年度平均月収:30万円～(実績あり),未経験OK／超スピード成長できる【営業】★昇給年4回★賞与年2回 正社員,掲載終了予定日： 2022/03/17
374,株式会社コミュニティー | ★直近も賞与実績あり★転勤なし★WEB面接1回の選考可能,未経験・第二新卒大歓迎！【倉庫作業スタッフ】★年休120日以上 正社員,掲載終了予定日： 2022/02/24
375,株式会社sizebook | 業界高水準の待遇★月25万～★完休2日★土日祝休★第二新卒歓迎,WEB広告の【ライター】★未経験歓迎★将来は年収1000万や独立可 正社員,掲載終了予定日： 2022/03/03
376,株式会社コトリオ | ★土日祝休み★年休124日★残業月平均15h★産育休実績あり,【人材コーディネーター／営業】★平均27歳★異業界出身が80％超 正社員,掲載終了予定日： 2022/03/17
377,谷一木材株式会社 | 昇給・賞与が各年2回／勤務スタイルは3種類の中から選べる！,住宅用建材の【製造スタッフ】未経験OK／完全週休2日・年休120日 正社員,掲載終了予定日： 2022/03/17
378,サムティプロパティマネジメント株式会社 | 【東証一部上場100％出資企業】★大阪府緊急雇用対策に賛同,オーナー対応などの【不動産管理】★月給27万円～/土日休み 正社員,掲載終了予定日： 2022/03/14
379,株式会社ファーストライズ | 9年連続で業績UP／コロナ禍でも変わらずニーズがある安定企業★,居抜き物件のマッチングを図る【営業】*土日祝休み*未経験歓迎！ 正社員,掲載終了予定日： 2022/02/21
380,株式会社ケイティホーム | ワクワクすることを始めませんか？趣味や生活の知恵が活かせます,完全週休2日制【総合職(営業職／インテリアコーディネーター)】 正社員,掲載終了予定日： 2022/02/10
381,株式会社崎山組 | ＊年間休日は122日とたっぷり／1回の賞与で100万円の実績あり＊,資格取得すれば月収60万円も可能【機械オペレーター】※未経験OK 正社員,掲載終了予定日： 2022/03/10
382,Bigmac株式会社 | 毎期連続200%成長！北陸で圧倒的なシェアを誇るデジタル広告企業,デジタルマーケティングの【営業職】北陸で圧倒的なシェアを誇る 正社員,掲載終了予定日： 2022/03/10
383,大阪第一交通株式会社 | 上場グループ／年収500万円以上可／大阪府緊急雇用対策に賛同,業界大手！誰もが自分らしく仕事できる【タクシードライバー】 正社員,掲載終了予定日： 2022/03/10
384,エコ・ライフ株式会社 | 年収例24歳2200万円、28歳2900万円、32歳3500万円、37歳4600万円,日本最高水準の高額給与！億万長者になれる営業職【総合職】 正社員,掲載終了予定日： 2022/03/03
385,株式会社リモデルエステート | 転勤なし／全国26支店展開中の安定企業／WEB面接実施中,【賃貸住宅のリフォーム営業】平均月収60万円！未経験歓迎！ 正社員,掲載終了予定日： 2022/02/10
386,株式会社ケーシーエス | 【入社1年目から月収40万円超も可能】完週休2日の働き方もできる,【総合職（ドライバー／運行管理）】自分らしい働き方が選べる！ 正社員,掲載終了予定日： 2022/03/17
387,株式会社スタイリード | ［居心地の良さ］×［納得できる収入］で高い定着率を誇ります！,★未経験歓迎！【営業スタッフ】★完全週休2日制・ほぼ残業ナシ 正社員,掲載終了予定日： 2022/03/10
388,四国道路施設有限会社 | 区画線工事や道路標識の設置など | 徳島で愛されて40年以上,交通安全に貢献する【技術スタッフ】◆転勤なし◆原則定時退社！ 正社員,掲載終了予定日： 2022/03/10
389,ユナイテッド・エステート株式会社 | 【コロナ禍においても最高益の成長企業】完全週休2日制(土日祝),【不動産営業】仕入～売却まで一貫対応！※未経験者歓迎！ 正社員,掲載終了予定日： 2022/03/10
390,株式会社エヴァ・ライフ | ＼ 高収入が目指せます ／インセンティブが10万円を超える月も?!,今後の拡大に期待大！【 福祉用具のルート営業 】*新店舗もOPEN 正社員,掲載終了予定日： 2022/03/10
391,株式会社Add Flow | ◆土日祝休◆年間休日120日◆残業月20H◆インセンティブ毎月支給,YouTube・Instagram等のSNS広告/未経験可/渋谷勤務【企画営業】 正社員,掲載終了予定日： 2022/03/10
392,株式会社アサヒ通一商アッソー | 【専門◎コンクリート圧送工事業】*月50万可 *10～30代が活躍中,面接確約【コンクリート圧送スタッフ】資格と高収入を手に入れる 正社員,掲載終了予定日： 2022/03/10
393,アイデックス株式会社 | 完全週休2日制（土日祝）新宿パークタワー20F/綺麗なオフィス,【賃貸管理】土日休み/残業少なめ/賞与4か月/創業22年黒字経営 正社員,掲載終了予定日： 2022/03/07
394,株式会社エイトハウジング | 【大阪積極採用／月収50万円も可能！】大阪府緊急雇用対策に賛同,収入も働き方も満足！リフォームの【営業】土日祝休み／未経験OK 正社員,掲載終了予定日： 2022/02/14
395,株式会社エム・シー・ピー | ★基本定時退社★正当評価で年収1000万円も可能★昇給年4回,★残業なし★最大18連休！メリハリつけて働ける【積算スタッフ】 正社員,掲載終了予定日： 2022/02/21
396,株式会社エアーテック | 【 佐賀県有数の実力 】ダイキン空調機特工店＆サービス認定店,空調設備の【 総合職 】国家資格取得を会社で全額負担 正社員,掲載終了予定日： 2022/02/07
397,西日本高速道路エンジニアリング中国株式会社 | 【NEXCO西日本グループ】■年収600万円以上可能■UIターン歓迎,【土木技術者(管理・点検・調査設計)】年休120日◎完全週休2日制 正社員,掲載終了予定日： 2022/02/21
398,株式会社くらいす住建 | ★残業月20H以内 ★土日祝休み ★入社2年目で年収1200万円可！,暮らしをデザイン【リフォームアドバイザー】未経験が90%以上♪ 正社員,掲載終了予定日： 2022/02/14
399,廣川電機株式会社 | カネカ、サントリーなど大手と直接取引／資格取得支援あり,未経験から始める【メンテナンススタッフ】☆月給22万円以上 正社員,掲載終了予定日： 2022/02/07
400,株式会社New Links | ［業務拡大を続ける成長企業］★入社1ヶ月目から月収30万円も可,未経験歓迎！スピード昇給可◎【営業スタッフ】★年休115日～ 正社員,掲載終了予定日： 2022/02/14
401,有限会社愛知環境センター | 未経験OK！体力への負担がないから腰を据えて働ける◎,【機械オペレーター】★子どもの行事に合わせて有給が取れる！ 正社員,掲載終了予定日： 2022/02/28
402,株式会社TAKEFUJI | 電話での問い合わせもOK！【045-383-9697】,【ドライバー】★普通免許があればOK！1年目で月収80万円も可能 業務委託,掲載終了予定日： 2022/01/31
403,株式会社オラフズ | 実績多数『ジャンクSPORTS』『モニタリング』『ドッキリGP』etc.,【AD/進行管理】地上波・動画配信サービス・YouTube等ジャンル◎ 正社員,掲載終了予定日： 2022/01/31
404,株式会社九州電気保安センター | 【電話問い合わせもOK】土日の完全週休2日で基本残業なし！,希望に合った働き方ができる電気設備の【保守・点検スタッフ】 正社員,掲載終了予定日： 2022/02/14
405,社会福祉法人 枚方療育園 | ビアンエトール恭愛/法人設立から50年以上の安定基盤/月8日休み,未経験歓迎【生活支援員（通所施設）】※賞与年3回(5.35ヶ月分) 正社員,掲載終了予定日： 2022/02/14
406,株式会社シュアテック | #浄化槽の保守点検#香川県内の企業トップクラスの規模,インフラ設備を守る◎【メンテナンススタッフ】※賞与5ヶ月実績 正社員,掲載終了予定日： 2022/01/31
407,株式会社エール | 1月22日(土)開催のマイナビ転職フェア福岡に出展＠国際会議場,街で見かける似顔絵看板の【営業職】※年収800万円超も可能！ 正社員,掲載終了予定日： 2022/02/28
408,FIC栄新株式会社 | 充実のインセンティブで入社1年目から高収入を実現！,【営業職】20代の若手活躍中／完全週休2日制／未経験歓迎 正社員,掲載終了予定日： 2022/02/28
409,株式会社エーワンオートイワセ | ＜長野県唯一のBMW＆MINIの正規ディーラー＞,MINIの【セールス・コンサルタント（営業職）】※未経験歓迎！ 正社員,掲載終了予定日： 2022/02/28
410,阪奈サービス株式会社 | 手当充実｜賞与3.1ヶ月分＋決算賞与あり｜未経験者多数活躍中！,最新技術を用いて、建造物の安全をまもる。【検査スタッフ】 正社員,掲載終了予定日： 2022/02/28
411,東亜商事株式会社 | 安定の経営基盤で幅広いスキルUP＆年収800万円以上も目指せる！,未経験OK！50年の歴史ある総合商社！JA(農協)への【ルート営業】 正社員,掲載終了予定日： 2022/02/21
412,鶴信運輸株式会社 | 《 津山・広島営業所にて積極採用中！ 》★1年目で月収40万円可,未経験OK【 4t・10tドライバー 】◎大型免許取得支援あり 正社員,掲載終了予定日： 2022/02/28
413,株式会社アクト | ＼賞与は4～5ヶ月分を支給／残業は月平均10時間ほどです,道路や河川などの社会インフラに関わる【施工管理】★年休113日 正社員,掲載終了予定日： 2022/02/28
414,株式会社日本汽罐 | ★どこにもない製品を売る面白さ★大手企業とも取引実績多数！,社会貢献を果たす【自社開発製品（機械・プラント）の提案営業】 正社員,掲載終了予定日： 2022/02/07
415,株式会社九南フィールドエンジニアリング | 『九州電力』の送電線工事／今の生活、満足できていますか？？,暮らしが上向く！【技術スタッフ】★未経験OK★賞与7カ月分以上 正社員,掲載終了予定日： 2022/02/07
416,株式会社藤原組 | 100年超の歴史を誇る老舗の総合建設会社　★未経験大歓迎,街のライフラインを再生！【機械操作スタッフ】*月給24万円以上 正社員,掲載終了予定日： 2022/02/14
417,株式会社カワテ | 【設立36年目、安定成長を続ける企業！多種類の機械を保有！】,【クレーンオペレーター】★正社員で安定収入を実現★未経験もOK 正社員,掲載終了予定日： 2022/02/07
